dominio_id,ambito_id,concetto_id,desc_id
d_6,a_33,c_519,d_6-a_33-c_519
d_10,a_37,c_274,d_10-a_37-c_274
d_6,a_33,c_520,d_6-a_33-c_520
d_6,a_33,c_521,d_6-a_33-c_521
d_6,a_33,c_208,d_6-a_33-c_208
d_9,a_12,c_365,d_9-a_12-c_365
d_4,a_4,c_630,d_4-a_4-c_630
d_7,a_10,c_171,d_7-a_10-c_171
d_7,a_10,c_170,d_7-a_10-c_170
d_8,a_23,c_336,d_8-a_23-c_336
d_3,a_13,c_165,d_3-a_13-c_165
d_3,a_3,c_165,d_3-a_3-c_165
d_3,a_24,c_450,d_3-a_24-c_450
d_3,a_24,c_451,d_3-a_24-c_451
d_9,a_12,c_99,d_9-a_12-c_99
d_6,a_9,c_411,d_6-a_9-c_411
d_9,a_12,c_564,d_9-a_12-c_564
d_6,a_9,c_260,d_6-a_9-c_260
d_12,a_28,c_310,d_12-a_28-c_310
d_7,a_10,c_604,d_7-a_10-c_604
d_12,a_27,c_473,d_12-a_27-c_473
d_12,a_27,c_367,d_12-a_27-c_367
d_10,a_36,c_530,d_10-a_36-c_530
d_10,a_36,c_529,d_10-a_36-c_529
d_10,a_36,c_531,d_10-a_36-c_531
d_10,a_36,c_532,d_10-a_36-c_532
d_10,a_36,c_533,d_10-a_36-c_533
d_1,a_7,c_256,d_1-a_7-c_256
d_1,a_8,c_59,d_1-a_8-c_59
d_6,a_16,c_59,d_6-a_16-c_59
d_1,a_1,c_329,d_1-a_1-c_329
d_7,a_10,c_95,d_7-a_10-c_95
d_7,a_10,c_172,d_7-a_10-c_172
d_4,a_4,c_363,d_4-a_4-c_363
d_6,a_17,c_134,d_6-a_17-c_134
d_10,a_37,c_134,d_10-a_37-c_134
d_12,a_29,c_633,d_12-a_29-c_633
d_9,a_12,c_157,d_9-a_12-c_157
d_9,a_12,c_102,d_9-a_12-c_102
d_6,a_9,c_258,d_6-a_9-c_258
d_10,a_37,c_321,d_10-a_37-c_321
d_10,a_36,c_270,d_10-a_36-c_270
d_6,a_32,c_254,d_6-a_32-c_254
d_11,a_30,c_146,d_11-a_30-c_146
d_9,a_12,c_30,d_9-a_12-c_30
d_6,a_32,c_560,d_6-a_32-c_560
d_1,a_8,c_407,d_1-a_8-c_407
d_10,a_20,c_72,d_10-a_20-c_72
d_4,a_4,c_379,d_4-a_4-c_379
d_10,a_19,c_269,d_10-a_19-c_269
d_10,a_15,c_609,d_10-a_15-c_609
d_2,a_34,c_616,d_2-a_34-c_616
d_12,a_27,c_124,d_12-a_27-c_124
d_1,a_1,c_439,d_1-a_1-c_439
d_5,a_14,c_49,d_5-a_14-c_49
d_8,a_23,c_337,d_8-a_23-c_337
d_6,a_33,c_381,d_6-a_33-c_381
d_4,a_4,c_381,d_4-a_4-c_381
d_8,a_11,c_386,d_8-a_11-c_386
d_12,a_27,c_307,d_12-a_27-c_307
d_4,a_4,c_368,d_4-a_4-c_368
d_2,a_2,c_185,d_2-a_2-c_185
d_10,a_19,c_623,d_10-a_19-c_623
d_10,a_19,c_266,d_10-a_19-c_266
d_10,a_15,c_193,d_10-a_15-c_193
d_6,a_32,c_202,d_6-a_32-c_202
d_11,a_22,c_219,d_11-a_22-c_219
d_10,a_19,c_284,d_10-a_19-c_284
d_10,a_37,c_272,d_10-a_37-c_272
d_4,a_4,c_58,d_4-a_4-c_58
d_6,a_16,c_424,d_6-a_16-c_424
d_6,a_17,c_225,d_6-a_17-c_225
d_6,a_16,c_471,d_6-a_16-c_471
d_12,a_29,c_309,d_12-a_29-c_309
d_6,a_16,c_422,d_6-a_16-c_422
d_6,a_17,c_223,d_6-a_17-c_223
d_6,a_17,c_525,d_6-a_17-c_525
d_6,a_17,c_528,d_6-a_17-c_528
d_6,a_17,c_527,d_6-a_17-c_527
d_6,a_17,c_526,d_6-a_17-c_526
d_6,a_16,c_423,d_6-a_16-c_423
d_2,a_34,c_231,d_2-a_34-c_231
d_10,a_37,c_319,d_10-a_37-c_319
